Catalog|page|r|c|type|color|country|otherDesignation|brandName|vintage.year|region|bottleSize|perPrice|casePrice|description
7-Fall Sale 1959|6|723|190|Still|Red|fra|Claret|Chateau Canon|1955|St. Emilion|standard|2.39||
7-Fall Sale 1959|6|693|190|Still|Red|fra|Claret|Chateau Gaffeliere-Naudes|1955|St. Emilion|standard|2.49||
7-Fall Sale 1959|6|661|191|Still|Red|fra|Claret|Chateau Lynch Bages|1955|Pauillac|standard|2.49||
7-Fall Sale 1959|6|626|189|Still|Red|fra|Claret|Chateau Cos D’Estournel|1955|St. Estephe|standard|2.49||
7-Fall Sale 1959|6|593|194|Still|Red|fra|Claret|Chateau Calon Segur|1955|St. Estephe|standard|2.19||
7-Fall Sale 1959|6|565|193|Still|Red|fra|Claret|Chateau La Mission Haut Brion|1955|Graves|standard|2.99||
7-Fall Sale 1959|6|1273|167|Still|Red|fra|Claret|Chateau Cos D’Estournel|1954|St. Estephe|standard|1.69||
7-Fall Sale 1959|6|1238|170|Still|Red|fra|Claret|Chateau Cheval Blanc|1954|St. Emilion|standard|2.29||
7-Fall Sale 1959|6|1206|167|Still|Red|fra|Claret|Chateau Mouton Rothschild|1954|Pauillac|standard|2.49||
7-Fall Sale 1959|5|581|150|Still|Red|fra|Bordeaux|Chateau Lalande|1955|Listrac,Medoc|standard|1.29|14.5|
7-Fall Sale 1959|5|545|154|Still|Red|fra|Bordeaux|Chateau Lafon Rochet|1955|St.Estephe|standard|1.49|16.95|
7-Fall Sale 1959|5|521|152|Still|Red|fra|Bordeaux|Chateau Ripeau|1955|St.Emilion|standard|1.49|16.95|
7-Fall Sale 1959|5|478|155|Still|Red|fra|Bordeaux|Chateau Larrivaux|1955|HautMedoc|standard|1.69|18.5|
7-Fall Sale 1959|5|448|154|Still|Red|fra|Bordeaux|Chateau Branaireducru|1955|St. Julien|standard|1.69|18.5|
7-Fall Sale 1959|5|411|155|Still|Red|fra|Bordeaux|Chateau L’Angelus|1955|St.Emilion|standard|1.19|19.95|
7-Fall Sale 1959|5|383|150|Still|Red|fra|Bordeaux|Chateau Chasse Spleen|1955|Moulis,Medoc|standard|1.19|19.95|
7-Fall Sale 1959|5|345|152|Still|Red|fra|Bordeaux|Chateau Figeac|1955|SI.Emilion|standard|1.19|19.95|
7-Fall Sale 1959|5|318|157|Still|Red|fra|Bordeaux|Chateau Troplong Mondot|1955|St. Emilion|standard|1.19|19.95|
7-Fall Sale 1959|5|278|155|Still|Red|fra|Bordeaux|Chateau Nenin|1955|Pomerol|standard|1.99|22.65|
7-Fall Sale 1959|5|249|153|Still|Red|fra|Bordeaux|Chateau Leoville Barton|1955|St. Julien|standard|1.99|22.65|
7-Fall Sale 1959|5|215|154|Still|Red|fra|Bordeaux|Chateau Petitvillage|1955|Pomerol|standard|2.19|31.5|
7-Fall Sale 1959|5|181|155|Still|Red|fra|Bordeaux|Chateau Lamission Haut Brion|1955|Graves|standard|2.19|31.5|
80-Best Pre-Holiday Buys 1949|4|1487|964|Still|Red|fra|RED RHONE WINES|Chateauneuf Du Pape|1943||standard|1.49|17.4|Shipped by F. Chauvene
80-Best Pre-Holiday Buys 1949|4|1487|931|Still|Red|fra|RED RHONE WINES|Hermitage Rouge|1942||standard|1.89|21.55|Estate Bottled, Chapoutier et Cie
80-Best Pre-Holiday Buys 1949|4|1487|889|Still|Red|fra|RED RHONE WINES|Cote Rotie|1942||standard|1.99|22.89|Estate Bottled, Chapoutier
80-Best Pre-Holiday Buys 1949|4|1487|851|Still|Red|fra|RED RHONE WINES|Chateauneuf Du Pape|1937||standard|2.29|24.75|Shipped by Chapoutier
80-Best Pre-Holiday Buys 1949|4|1487|810|Still|Red|fra|RED RHONE WINES|Chateauneuf Du Pape|1937||magnum|4.79|25.75|Shipped by Chapoutier
80-Best Pre-Holiday Buys 1949|4|1487|738|Still|White|fra|WHITE RHONE WINES|Chateau De Thouet|1942||standard|1.49|16.5|Shipped by A. Salavert
80-Best Pre-Holiday Buys 1949|4|1487|641|Still|Rose|fra|FRENCH PINK WINES|Cotes De Provence Rose|1945||standard|1.24|13.64|Estate Bottled, Chateau de Saint-Martin
80-Best Pre-Holiday Buys 1949|4|1487|603|Still|Rose|fra|FRENCH PINK WINES|Alsatian Vin Gris|||standard|1.72|18.58|Shipped by Domaine Dopff
80-Best Pre-Holiday Buys 1949|4|1487|563|Still|Rose|fra|FRENCH PINK WINES|Tavel|1947||standard|1.59|17.25|Shipped by F. Martell
80-Best Pre-Holiday Buys 1949|4|1487|520|Still|Rose|fra|FRENCH PINK WINES|Anjou Rose|||standard|1.88|21.48|Shipped by Rossignol
80-Best Pre-Holiday Buys 1949|4|1487|487|Still|Rose|fra|FRENCH PINK WINES|Rosemaison|1945||standard|2|22.8|Shipped by Chapoutier et Cie
80-Best Pre-Holiday Buys 1949|4|1487|405|Still|White|fra|VOUVRAY-ANJOU-SAUMUR|Coteaux De Layon|||standard|1.88|21.48|Shipped by Rossignol
80-Best Pre-Holiday Buys 1949|4|1487|359|Still|White|fra|VOUVRAY-ANJOU-SAUMUR|Anjou Saumur|||standard|1.88|21.48|Shipped by Rossigno
80-Best Pre-Holiday Buys 1949|4|1487|313|Still|White|fra|VOUVRAY-ANJOU-SAUMUR|Vouvray, Clos Le Mont|1947||standard|2.5|28.5|Shipped by Maison Ackerman Lauance
80-Best Pre-Holiday Buys 1949|4|1487|278|Still|White|fra|VOUVRAY-ANJOU-SAUMUR|Sparkling Vouvray|1945||standard|3.59|39.63|Shipped by Monmouseau
80-Best Pre-Holiday Buys 1949|4|1487|235|Still|White|fra|VOUVRAY-ANJOU-SAUMUR|Sparkling Saumur|||standard|4.28|48.79|Shipped by Maison Ackerman Laurance
80-Best Pre-Holiday Buys 1949|4|1487|1180|Still|Red|deu|RHINE WINES|Rhein Keller Liebfraumilch|1948||standard|1.59|18.95|Shipped by Scholl and Hildebrand
80-Best Pre-Holiday Buys 1949|4|1487|1137|Still|Red|deu|RHINE WINES|Niersteiner Hipping Spatlese|1947||standard|2.49|28.5|Estate Bottled. F. K. Schmidt
80-Best Pre-Holiday Buys 1949|4|1487|1104|Still|Red|deu|RHINE WINES|Hattenheimer Pfaffenberg Cabinet|1943||standard|3.79|41.5|Growth, Graf Von Schonbornn'sches Rentamt.
80-Best Pre-Holiday Buys 1949|4|1487|1065|Still|Red|deu|RHINE WINES|Oppenheimer Steig Natur|1945||standard|3.99|43.5|state Bottled, Hess. Weinbaudomane
80-Best Pre-Holiday Buys 1949|4|1487|1026|Still|Red|deu|RHINE WINES|Rudesheimer Klosterkiesel Riesling|1943||standard|3.99|43.5|Estate Bottled, Grafen von Francken Sierstorpff
80-Best Pre-Holiday Buys 1949|4|1487|986|Still|Red|deu|RHINE WINES|Schloss Johannisberger Cabinet|1945||standard|4.38|46.8|Estate Bottled, Furst Von Metternich
80-Best Pre-Holiday Buys 1949|4|1487|947|Still|Red|deu|RHINE WINES|Schloss Johannisberger Goldbeeren Auslese|1921||standard|28.75||Shipped by H. Sichel Sohne
80-Best Pre-Holiday Buys 1949|4|1487|839|Still|White|deu|MOSELLE WINES|Bern Casteler Herrenberg|1945||standard|2.49|27.5|Growth, Carl Reh
80-Best Pre-Holiday Buys 1949|4|1487|806|Still|White|deu|MOSELLE WINES|Piesporter Goldtropfchen Spatlese|1943||standard|2.49|27.4|Estate Bottled, Kesselstatt Cellars
80-Best Pre-Holiday Buys 1949|4|1487|770|Still|White|deu|MOSELLE WINES|Leiwiener Laurentiuslay Feinste Spatlese|1945||standard|2.64|27.5|Estate Bottled, Nik, Reh Erben
80-Best Pre-Holiday Buys 1949|4|1487|729|Still|White|deu|MOSELLE WINES|Wehlener Sonnenuhr Spatlese|1947||standard|2.99|32.4|Growth, Preum-Prueur
80-Best Pre-Holiday Buys 1949|4|1487|692|Still|White|deu|MOSELLE WINES|Josephshofer Auslese|1943||standard|3.98|43.8|Estate Bottled, Kesselstatt Cellars
80-Best Pre-Holiday Buys 1949|4|1487|648|Still|White|deu|MOSELLE WINES|Josephshofer Feine Spatauslese|1943||standard|4.92|54.1|Estate bottled, Kesselstatt Cellars
80-Best Pre-Holiday Buys 1949|4|1487|554|Still|Red|ita|ITALIAN WINES|Chianti|1942||quart|1.29|14.95|Olmi
80-Best Pre-Holiday Buys 1949|4|1487|530|Still|Red|ita|ITALIAN WINES|Chianti|1945||quart|2.19|24.5|Brolio
80-Best Pre-Holiday Buys 1949|4|1487|508|Still|Red|ita|ITALIAN WINES|Orvieto Dry|||standard|1.96|21.9|Bigi
80-Best Pre-Holiday Buys 1949|4|1487|481|Still|Red|ita|ITALIAN WINES|Asti Spumante|1943||standard|3.61|38.99|Gancia
80-Best Pre-Holiday Buys 1949|4|1487|455|Still|Red|ita|ITALIAN WINES|Lacrima Christi|1943||standard|3.84|41.47|Gancia
80-Best Pre-Holiday Buys 1949|4|1487|377|Still|Red|aut|AUSTRIAN WINES|Gumpoldskirchner Riesling|1948||standard|2.99|32.3|
80-Best Pre-Holiday Buys 1949|4|1487|350|Still|Red|aut|AUSTRIAN WINES|Kremser Kogl Riesling|1946||standard|2.99|32.3|
80-Best Pre-Holiday Buys 1949|4|1487|271|Still|Red|hun|HUNGARIAN WINES|Badacsonyi, Szurkebarat|1945||standard|1.99|21.6|
80-Best Pre-Holiday Buys 1949|4|1487|246|Still|Red|hun|HUNGARIAN WINES|Badacsonyi, Keknyelu|1945||standard|1.99|21.6|
80-Best Pre-Holiday Buys 1949|4|1487|226|Still|Red|hun|HUNGARIAN WINES|To Kay Aszu 3 Puttonos|1937||pint|2.91|32|
80-Best Pre-Holiday Buys 1949|9|727|190|Sparkling|White|fra|FRENCH CHAMPAGNE|Croyden Freres Brut|1943||splits|0.98|45.75|
80-Best Pre-Holiday Buys 1949|9|708|188|Sparkling|White|fra|FRENCH CHAMPAGNE|Moet & Chandon Imperial Brut|||splits|1.39|60.05|
80-Best Pre-Holiday Buys 1949|9|689|191|Sparkling|White|fra|FRENCH CHAMPAGNE|Mumm'S Extra Dry|||splits|1.49|66.1|
80-Best Pre-Holiday Buys 1949|9|671|192|Sparkling|White|fra|FRENCH CHAMPAGNE|Croyden Freres Brut|1943||tenths|1.96|45.5|
80-Best Pre-Holiday Buys 1949|9|656|193|Sparkling|White|fra|FRENCH CHAMPAGNE|Croyden Freres Brut|1943||standard|3.79|43.75|
80-Best Pre-Holiday Buys 1949|9|636|192|Sparkling|White|fra|FRENCH CHAMPAGNE|Royal Chadron Brut|1943||standard|3.89|44.95|
80-Best Pre-Holiday Buys 1949|9|618|187|Sparkling|White|fra|FRENCH CHAMPAGNE|Ayala Extra Dry|||standard|3.98|45.37|
80-Best Pre-Holiday Buys 1949|9|597|185|Sparkling|White|fra|FRENCH CHAMPAGNE|Mailly Pink Champagne|1943||standard|4.28|47.08|
80-Best Pre-Holiday Buys 1949|9|581|189|Sparkling|White|fra|FRENCH CHAMPAGNE|St. Marceaux Private Cuvee|||standard|4.6|49.75|
80-Best Pre-Holiday Buys 1949|9|564|188|Sparkling|White|fra|FRENCH CHAMPAGNE|Moet & Chandon White Seal Brut|||standard|4.9|52.92|
80-Best Pre-Holiday Buys 1949|9|550|189|Sparkling|White|fra|FRENCH CHAMPAGNE|Bollinger Cuvee Parfaite|||standard|5.1|55|
80-Best Pre-Holiday Buys 1949|9|530|186|Sparkling|White|fra|FRENCH CHAMPAGNE|Lanson Black Label|||standard|4.9|52.92|
80-Best Pre-Holiday Buys 1949|9|508|187|Sparkling|White|fra|FRENCH CHAMPAGNE|Perrier Jouet Special Reserve|||standard|5.25|59.85|
80-Best Pre-Holiday Buys 1949|9|490|186|Sparkling|White|fra|FRENCH CHAMPAGNE|Charles Heidsieck Brut|||standard|5.29|57.18|
80-Best Pre-Holiday Buys 1949|9|471|188|Sparkling|White|fra|FRENCH CHAMPAGNE|Mumm'S Extra Dry|||standard|5.29|57.18|
80-Best Pre-Holiday Buys 1949|9|453|185|Sparkling|White|fra|FRENCH CHAMPAGNE|Heidsieck Dry Monopole Brut|||standard|5.89|63.61|
80-Best Pre-Holiday Buys 1949|9|439|186|Sparkling|White|fra|FRENCH CHAMPAGNE|Irroy Brut|||standard|4.74|51.27|
80-Best Pre-Holiday Buys 1949|9|418|185|Sparkling|White|fra|FRENCH CHAMPAGNE|Louis Roederer Brut|||standard|6.47|69.86|
80-Best Pre-Holiday Buys 1949|9|392|187|Sparkling|White|fra|FRENCH CHAMPAGNE|Mumm'S Cordon Rouge Brut|||standard|6.5|70.2|
80-Best Pre-Holiday Buys 1949|9|379|184|Sparkling|White|fra|FRENCH CHAMPAGNE|St. Marceaux Brut|1942||standard|6.75|73|
80-Best Pre-Holiday Buys 1949|9|366|185|Sparkling|White|fra|FRENCH CHAMPAGNE|Perrier Jouet English Cuvee|1943||standard|6.75|76.95|
80-Best Pre-Holiday Buys 1949|9|343|186|Sparkling|White|fra|FRENCH CHAMPAGNE|Pommery & Greno|1942||standard|6.87|75.57|
80-Best Pre-Holiday Buys 1949|9|326|183|Sparkling|White|fra|FRENCH CHAMPAGNE|Charles Heidsieck Brut|1942||standard|6.93|74.84|
80-Best Pre-Holiday Buys 1949|9|309|186|Sparkling|White|fra|FRENCH CHAMPAGNE|Lanson|1942||standard|7.25|78.3|
80-Best Pre-Holiday Buys 1949|9|292|184|Sparkling|White|fra|FRENCH CHAMPAGNE|Pol Roger Brut|1934||standard|7.87|85|
80-Best Pre-Holiday Buys 1949|9|270|183|Sparkling|White|fra|FRENCH CHAMPAGNE|Louis Roederer Brut|1928||standard|8.09|87.34|
80-Best Pre-Holiday Buys 1949|9|1278|622|Sparkling|White|fra|FRENCH CHAMPAGNE|Clicquot Yellow Label|1937||standard|7.9|85.25|
80-Best Pre-Holiday Buys 1949|9|1256.5|623|Sparkling|White|fra|FRENCH CHAMPAGNE|Mumm'S Cordon Rouge Brut|1941||standard|8.18|88.37|
80-Best Pre-Holiday Buys 1949|9|1235|625.5|Sparkling|White|fra|FRENCH CHAMPAGNE|Mailly Brut|1943||magnum|8.25|47.02|
80-Best Pre-Holiday Buys 1949|9|1217|625.5|Sparkling|White|fra|FRENCH CHAMPAGNE|St. Marceaux Private Cuvee|||magnum|9.2|49.75|
80-Best Pre-Holiday Buys 1949|9|1199|624.5|Sparkling|White|fra|FRENCH CHAMPAGNE|Moet & Chandon Dom Perignon|1928||standard|9.44|101.95|
80-Best Pre-Holiday Buys 1949|9|1177.5|625|Sparkling|White|fra|FRENCH CHAMPAGNE|Pommery & Greno|1941||magnum|9.8|53.9|
80-Best Pre-Holiday Buys 1949|9|1158|621.5|Sparkling|White|fra|FRENCH CHAMPAGNE|Bollinger Brut|||magnum|13.05|70.47|
80-Best Pre-Holiday Buys 1949|9|1138|623|Sparkling|White|fra|FRENCH CHAMPAGNE|Mumm'S Cordon Rouge|||magnum|13.19|71.2|
80-Best Pre-Holiday Buys 1949|9|1120|624.5|Sparkling|White|fra|FRENCH CHAMPAGNE|Besserat De Bellefon|1943||jeroboam|19.95|57.95|
80-Best Pre-Holiday Buys 1949|9|1044.5|624.5|Sparkling|White|usa|AMERICAN CHAMPAGNES|Ste. Jeanne Brut|||standard|2.49|27.5|
80-Best Pre-Holiday Buys 1949|9|1023.5|623.5|Sparkling|White|usa|AMERICAN CHAMPAGNES|Almaden Brut|||standard|3.75|39.75|
80-Best Pre-Holiday Buys 1949|9|1004.5|621|Sparkling|White|usa|AMERICAN CHAMPAGNES|Bellows Brut|||standard|3.9|44.46|
80-Best Pre-Holiday Buys 1949|9|983|625.5|Sparkling|White|usa|AMERICAN CHAMPAGNES|Gold Seal Brut|||standard|3.95|42.65|
80-Best Pre-Holiday Buys 1949|9|964.5|623|Sparkling|White|usa|AMERICAN CHAMPAGNES|Great Western Brut|||standard|4.14|45|
80-Best Pre-Holiday Buys 1949|9|944|619.5|Sparkling|White|usa|AMERICAN CHAMPAGNES|Paul Masson Brut|||standard|4.37|47|
80-Best Pre-Holiday Buys 1949|9|923.5|623|Sparkling|White|usa|AMERICAN CHAMPAGNES|Korbel Brut|||standard|4.57|49.27|
80-Best Pre-Holiday Buys 1949|9|903.5|622|Sparkling|White|usa|AMERICAN CHAMPAGNES|Cook'S Imperial Brut|||standard|4.72|51.03|
80-Best Pre-Holiday Buys 1949|9|829.5|622|Still|White|usa|AMERICAN WHITE WINES|St. Michel Mt. Blanc|||half bottle|0.49|11.5|
80-Best Pre-Holiday Buys 1949|9|809|619.5|Still|White|usa|AMERICAN WHITE WINES|Alano Chablis|||standard|0.69|7.85|
80-Best Pre-Holiday Buys 1949|9|789.5|620.5|Still|White|usa|AMERICAN WHITE WINES|St. Michel Mountain Blanc|||standard|0.89|9.95|
80-Best Pre-Holiday Buys 1949|9|768|619.5|Still|White|usa|AMERICAN WHITE WINES|Gold Coast White Burgundy (S. S. Pierce)|||standard|1|10.95|
80-Best Pre-Holiday Buys 1949|9|749.5|623|Still|White|usa|AMERICAN WHITE WINES|Chateau Lejon White|||standard|1.22|13.18|
80-Best Pre-Holiday Buys 1949|9|729.5|619|Still|White|usa|AMERICAN WHITE WINES|Martini Mountain Sylvaner|||standard|1.47|15.79|
80-Best Pre-Holiday Buys 1949|9|711|618.5|Still|White|usa|AMERICAN WHITE WINES|Almaden Pinot Blanc|||standard|1.35|14.85|
80-Best Pre-Holiday Buys 1949|9|694.5|618.5|Still|White|usa|AMERICAN WHITE WINES|Inglenook Traminer|||standard|1.47|16.76|
80-Best Pre-Holiday Buys 1949|9|675|618.5|Still|White|usa|AMERICAN WHITE WINES|Wente Bros. Dry Semillon|||standard|1.47|15.79|
80-Best Pre-Holiday Buys 1949|9|649|618|Still|White|usa|AMERICAN WHITE WINES|Fountaingrove Sonoma Riesling|||standard|1.54|16.6|
80-Best Pre-Holiday Buys 1949|9|635.5|616.5|Still|White|usa|AMERICAN WHITE WINES|Beaulieu Chablis|||standard|1.49|16.09|
80-Best Pre-Holiday Buys 1949|9|615.5|617.5|Still|White|usa|AMERICAN WHITE WINES|Wente Bros. Pinot Blanc|||standard|1.65|17.81|
80-Best Pre-Holiday Buys 1949|9|540.5|616|Still|Red|usa|AMERICAN RED WINES|St. Michel Mountain Rouge|||half bottle|0.49|11.5|
80-Best Pre-Holiday Buys 1949|9|523|617|Still|Red|usa|AMERICAN RED WINES|Alano Burgundy|||standard|0.69|7.85|
80-Best Pre-Holiday Buys 1949|9|503|616.5|Still|Red|usa|AMERICAN RED WINES|St. Michel Mountain Rouge|||standard|0.89|9.95|
80-Best Pre-Holiday Buys 1949|9|484|616.5|Still|Red|usa|AMERICAN RED WINES|Fountain Grove Mountain Zinfandel|||standard|0.98|10.55|
80-Best Pre-Holiday Buys 1949|9|467.5|617|Still|Red|usa|AMERICAN RED WINES|Gold Coast Claret (S. S. Pierce)|||standard|1|10.95|
80-Best Pre-Holiday Buys 1949|9|451|617|Still|Red|usa|AMERICAN RED WINES|Gold Coast Red Burgundy (S. S. Pierce)|||standard|1|10.95|
80-Best Pre-Holiday Buys 1949|9|430|614.5|Still|Red|usa|AMERICAN RED WINES|Valliant Burgundy|||standard|1.17|12.64|
80-Best Pre-Holiday Buys 1949|9|413.5|614.5|Still|Red|usa|AMERICAN RED WINES|Inglenook Gamay|||standard|1.21|13.79|
80-Best Pre-Holiday Buys 1949|9|392.5|615|Still|Red|usa|AMERICAN RED WINES|Chateau Lejon Red|||standard|1.22|13.18|
80-Best Pre-Holiday Buys 1949|9|378.5|614.5|Still|Red|usa|AMERICAN RED WINES|Le Franc Santa Clara Cabernet|||standard|1.25|13.75|
80-Best Pre-Holiday Buys 1949|9|358.5|610.5|Still|Red|usa|AMERICAN RED WINES|Tipo Red, In Raffia|||quart|1.29|13.93|
80-Best Pre-Holiday Buys 1949|9|337.5|613|Still|Red|usa|AMERICAN RED WINES|Almaden Pinot Noir|||standard|1.35|14.85|
80-Best Pre-Holiday Buys 1949|9|322.5|612.5|Still|Red|usa|AMERICAN RED WINES|Martini Napa Cabernet|||standard|1.47|15.79|
80-Best Pre-Holiday Buys 1949|9|305|613.5|Still|Red|usa|AMERICAN RED WINES|Beaulieu Cabernet|||standard|1.49|16.09|
80-Best Pre-Holiday Buys 1949|9|290|614|Still|Red|usa|AMERICAN RED WINES|Martini Napa Pinot Noir|||standard|1.65|17.81|
80-Best Pre-Holiday Buys 1949|9|270|613|Still|Red|usa|AMERICAN RED WINES|Beaulieu Beaumont (Pinot Noir)|||standard|2.29|24.73|
